name,a,diameter,moid
,1.346240044467570,1.052,0.000166392
,2.763859381121960,1.258,0.000307103
Apophis,0.9224383019077090,0.325,0.000315683
,1.273004772045760,0.320,0.000342079
,1.001333879734340,0.163,0.000412369
,1.157105013275260,0.4,0.000466802
,1.735248340798910,1.407,0.000541511
,1.756402838204830,0.599,0.000600408
,1.269079810596650,0.439,0.000602857
,2.928106210937980,0.488,0.000737031
,1.219676544146270,0.460,0.00085785
,1.028875863638690,0.0025,0.000875043
,1.214105985758990,0.013,0.00125259
,1.401426336511860,0.008,0.00137161
,1.674712115348540,0.038,0.00159614
,2.04126417258241,0.026,0.00159767
,1.711896517144170,0.932,0.00175663
,1.641598635502550,0.024,0.00205764
,1.163876557192270,0.472,0.00216016
,1.951248315951740,0.045,0.00217487
,1.350812171397150,0.164,0.00226186
,1.755496414556960,0.663,0.00235121
,1.292632199961690,0.230,0.00244329
,1.109619989868930,1.717,0.00253962
,1.232902161794970,0.03,0.00256903
,1.923493652464970,3.484,0.00272183
,1.447191592965110,0.008,0.0027539
,1.999482016540060,0.888,0.00280008
,1.7043557651337,1.060,0.00283786
,1.963646884701700,0.366,0.00286479
,0.9108993418995240,0.096,0.00298085
,0.9115351760110960,0.510,0.00307529
Nereus,1.48876341559689,0.33,0.00315334
,1.11376416461514,0.488,0.00317985
Oljato,2.174290202658510,1.80,0.00318058
Bennu,1.126391025934070,0.492,0.0032228
,1.527069121092670,0.285,0.00324454
,0.7615842071486940,1.682,0.00334373
Midas,1.776599538133670,3.4,0.00371125
,0.712067509740175,0.197,0.00374655
,2.398640224011200,0.402,0.00392839
,1.358419913861830,0.057,0.00415092
,1.883712088064140,0.043,0.00425412
,1.222260909266700,0.367,0.00475695
,2.431533955714490,0.051,0.00477493
,1.539734360309920,0.4,0.00581275
,1.193795383762990,0.906,0.00615174
,1.260183615051880,0.537,0.00632391
Toutatis,2.543228263903640,5.4,0.00640764
,1.862043987126650,0.3,0.00646183
,1.860711255040760,0.453,0.00652163
,0.7791079191462440,0.055,0.00686102
Hathor,0.8438292455376520,0.3,0.00687373
,1.305861948149780,0.762,0.00699022
,1.835078408511800,1.989,0.00744366
,1.453514763516440,0.260,0.00750321
,1.225073807631030,0.459,0.00751796
,1.286450836994170,0.316,0.00754314
,1.267198333931490,0.050,0.00760097
,1.247574390426610,0.335,0.00822071
,1.568551251046120,0.886,0.00823564
,1.04004095801129,0.562,0.00832934
,1.830392760948620,0.108,0.00834171
,1.798121490120320,0.315,0.00836666
,0.8508124717137020,0.325,0.00855913
,0.7799517944033370,0.023,0.00868534
,1.850250876390520,0.202,0.00883634
,3.206166900471270,2.188,0.00885952
,1.678517167894770,0.4,0.00903102
,0.8747075468996650,0.291,0.00909025
,1.724665885274890,0.018,0.00960122
,1.760949066902700,0.495,0.0103969
,0.7676167689925490,0.291,0.0106572
,2.179947358600490,0.510,0.0108772
,1.592709976567290,0.204,0.0109318
,1.014624904279490,0.219,0.0111181
,2.95507928459848,0.622,0.0112844
,0.7200464602354320,0.143,0.0113351
,2.201012770598990,0.603,0.0115028
Adonis,1.874230110065120,0.6,0.0116225
,1.023535504546920,0.105,0.0116663
,2.377446086745850,0.811,0.0117195
,1.024021369616240,0.083,0.0119649
,1.641948946045250,0.4,0.012144
,1.754083576917680,0.152,0.0121817
,2.822008184577590,0.461,0.0123729
,1.08964062825924,0.018,0.01307
Moshup,0.6421955962832230,1.317,0.0130854
Itokawa,1.324142657689100,0.33,0.0130949
,1.923488205164090,0.877,0.0131625
Khufu,0.989537560450789,0.7,0.013236
,1.573345136381810,0.204,0.0132968
,0.8008089803389180,0.064,0.0133235
,0.9183720311920590,0.124,0.0135369
Orpheus,1.209662179045710,0.3,0.0135908
,0.9151005839936160,0.918,0.0139803
,0.9582193369290540,0.40,0.0139978
,1.131420925991050,0.030,0.0140029
,1.52310921076798,0.273,0.0144238
Hypnos,2.840473586951710,0.9,0.0145434
,2.457242502532650,0.418,0.0147187
,1.976222028412410,0.150,0.014736
,1.335489026544140,0.562,0.0147416
,1.365259037867060,0.863,0.0147662
Cacus,1.123117228310600,1.9,0.0148158
,1.004969950034240,0.193,0.015279
,1.579408462045800,0.015,0.0152939
,1.935703598241460,0.080,0.0158566
,0.682265937682661,0.143,0.0158728
,2.262877143176900,3.070,0.0159008
,1.861215160243970,0.4,0.0164423
,1.371931954583620,0.439,0.0164766
,2.222097659728460,1.1,0.0165405
,1.995599962359930,0.802,0.0165887
,1.2143687692119,0.043,0.0168711
,2.407936092596600,1.0,0.0169244
,1.892352986898390,0.195,0.0169551
,1.746569216863060,0.7,0.0169721
